分类,前缀,说明,示例
容量存储,DS-AT,超容量存储,DS-AT1000S
全景摄像机,DS-2CD8,多目全景摄像机,DS-2CD8A85F
全景摄像机,DS-2CD86,多目全景摄像机,DS-2CD8686F-IZS
全景摄像机,DS-2CD8A,多目全景摄像机,DS-2CD8A86F-IZS
智能摄像机,iDS-2CD,AI智能网络摄像机,iDS-2CD7A26FWD-V3
智能摄像机,DS-2CD7,AI智能网络摄像机,DS-2CD7027FWD/FE-A
网络摄像机,DS-2CD,通用网络摄像机,DS-2CD2T47G2-L
网络摄像机,DS-2CE,同轴高清摄像机,DS-2CE56D0T-IT3
网络摄像机,DS-2CA,模拟摄像机,DS-2CA202D-IR
网络球机,DS-2DC,网络球机,DS-2DC6225DW-D
网络球机,DS-2DE,网络球机,DS-2DE4223IW-DE
网络球机,DS-2DF,智能球机/激光球机,DS-2DF6C404MX-T
网络球机,DS-2PT,全景云台摄像机,DS-2PT3306IZ-DE3
热成像,DS-2TD,热成像摄像机,DS-2TD2617B-10/PA
智能摄像机,DS-IPC,智能网络摄像机,DS-IPC-T12HV3-IA
移动取证,DS-MH,移动布控球/便携摄像机,DS-MH1218A
硬盘录像机,DS-71,同轴/模拟硬盘录像机,DS-7108HGHI-F1/N
硬盘录像机,DS-72,同轴/模拟硬盘录像机,DS-7204HGHI-SH
硬盘录像机,DS-73,同轴/模拟硬盘录像机,DS-7308HGHI-SH
网络录像机,DS-76,通用型网络硬盘录像机,DS-7616NXI-K2/16P
网络录像机,DS-77,标准型网络硬盘录像机,DS-7732N-K4
网络录像机,DS-78,中端网络硬盘录像机,DS-7808N-Q2
网络录像机,DS-79,中高端网络硬盘录像机,DS-7932N-R4(C)
网络录像机,DS-11,经济型网络硬盘录像机,DS-1108NI-Q8/8P
网络录像机,DS-88,高端智能网络硬盘录像机,DS-8832N-R16/4K
网络录像机,DS-95,超高性能AI网络硬盘录像机,DS-95200NXI-I24
网络录像机,DS-96,超高端AI网络硬盘录像机,DS-9632NXI-I8
解码器,DS-64,标清/高清解码器,DS-6408HD-T
解码器,DS-65,网络解码器/数字矩阵,DS-6516
解码器,DS-69,高清/超高清解码器,DS-6908UDI
交换机,DS-3E0,百兆非网管交换机,DS-3E0105-E
交换机,DS-3E1,千兆接入交换机,DS-3E1526P-SI
交换机,DS-3E3,全千兆/三层汇聚交换机,DS-3E3736-H
门禁一体机,DS-K1T,人脸识别门禁一体机,DS-K1T671M
门禁控制,DS-K1A,门禁主机,DS-K1A801
门禁控制,DS-K2M,门禁控制器,DS-K2M061
门禁控制,DS-K4,高端门禁控制器,DS-K4600
可视对讲室内机,DS-KH,可视对讲室内机,DS-KH6320-C
可视对讲门口机,DS-KV,别墅/单元门口机,DS-KV8113-WME1
可视对讲配件,DS-KAD,中间设备/联网器,DS-KAD706
报警主机,DS-19,报警主机,DS-19A08-BN
报警探测器,DS-PS,光电感烟探测器,DS-PS1-WB
报警探测器,DS-PD,防盗探测器,DS-PD2-P10P-W
显示,DS-D50,专业液晶监视器,DS-D5022QE
显示,DS-D40,液晶拼接屏,DS-D4046SN
显示,DS-D2,LED全彩屏,DS-D2046CL
出入口控制,DS-TCG,出入口抓拍机,DS-TCG205-E
交通专用,DS-TP,交通检测/测速雷达,DS-TP12-12VH
交通专用,DS-TCV,电警/卡口抓拍机,iDS-TCV900-BI
交通专用,DS-TMG,道闸/挡车器,DS-TMG400-B
交通专用,DS-iTC,交通信号控制机,DS-iTC300-AR
