oui,manufacturer
28:6F:B9,"Nokia Shanghai Bell Co., Ltd."
08:EA:44,Extreme Networks Headquarters
F4:EA:B5,Extreme Networks Headquarters
B8:7C:F2,Extreme Networks Headquarters
E0:A1:29,Extreme Networks Headquarters
A8:C6:47,Extreme Networks Headquarters
A4:73:AB,Extreme Networks Headquarters
0C:9B:78,Extreme Networks Headquarters
A4:C7:F6,Extreme Networks Headquarters
B4:2D:56,Extreme Networks Headquarters
88:7E:25,Extreme Networks Headquarters
00:19:77,Extreme Networks Headquarters
38:E2:CA,Katun Corporation
B0:5B:99,Sagemcom Broadband SAS
E8:0A:B9,"Cisco Systems, Inc"
78:46:5F,"Fiberhome Telecommunication Technologies Co.,LTD"
90:75:DE,Zebra Technologies Inc.
80:BA:16,Micas Networks Inc.
10:E9:92,Ingram Micro Services
78:F2:76,Cyklop Fastjet Technologies (Shanghai) Inc.
20:F8:3B,"Nabu Casa, Inc."
F0:1B:24,zte corporation
B8:4C:87,IEEE Registration Authority
E4:F1:4C,Private
10:06:1C,Espressif Inc.
E0:06:30,"Huawei Technologies Co.,Ltd"
04:D1:68,"Sunplus Technology Co., Ltd."
64:4C:69,Conprove
DC:D1:60,"Tianjin Changdatong Technology Co.,LTD"
64:4E:D7,HP Inc.
9C:E3:30,Cisco Meraki
04:A9:59,"New H3C Technologies Co., Ltd"
0C:B9:83,"Honor Device Co., Ltd."
2C:B3:01,"Honor Device Co., Ltd."
E0:C2:B7,Masimo Corporation
C8:8B:E8,Masimo Corporation
E4:C7:67,Intel Corporate
90:2D:77,Edgecore Americas Networking Corporation
6C:FB:ED,GN Audio A/S
E4:F2:7C,Juniper Networks
90:6C:4B,Advance Security Electronics
D4:8A:FC,Espressif Inc.
E4:65:B8,Espressif Inc.
E0:01:C7,"Hui Zhou Gaoshengda Technology Co.,LTD"
B4:DF:91,Cisco Meraki
98:EE:8C,zte corporation
50:E4:78,"Sichuan AI-Link Technology Co., Ltd."
90:C7:10,zte corporation
48:D4:75,Lampuga GmbH
60:1A:C7,"Nintendo Co.,Ltd"
48:DA:35,IEEE Registration Authority
A8:81:FE,"Luxul Tech Co., Ltd"
64:9A:08,"Shenzhen SuperElectron Technology Co.,Ltd."
50:F2:22,EM Microelectronic
30:7A:57,Accuenergy (CANADA) Inc
CC:EB:5E,Xiaomi Communications Co Ltd
60:C7:8D,Juniper Networks
DC:51:93,zte corporation
74:78:A6,"Fortinet, Inc."
00:19:82,SmarDTV Corporation
50:FE:0C,AzureWave Technology Inc.
BC:FD:0C,Shenzhen Phaten Tech. LTD
18:65:C7,Dongguan YIMO Technology Co.LTD
0C:01:C8,"DENSO Co.,Ltd"
F4:2E:48,zte corporation
AC:D7:5B,Sagemcom Broadband SAS
B4:C2:E0,"Bouffalo Lab (Nanjing) Co., Ltd."
04:09:86,Arcadyan Corporation
48:1B:A4,"Cisco Systems, Inc"
F0:EE:7A,"Apple, Inc."
20:3A:EB,zte corporation
58:76:B3,"Ubee Interactive Co., Limited"
E8:70:72,"Hangzhou BroadLink Technology Co.,Ltd"
D8:DA:F1,"Huawei Technologies Co.,Ltd"
54:44:3B,"Huawei Technologies Co.,Ltd"
5C:70:75,"Huawei Technologies Co.,Ltd"
CC:03:FA,Vantiva USA LLC
48:F7:C0,Vantiva USA LLC
48:00:33,Vantiva USA LLC
14:98:7D,Vantiva USA LLC
58:23:8C,Vantiva USA LLC
80:B2:34,Vantiva USA LLC
84:17:EF,Vantiva USA LLC
A4:56:CC,Vantiva USA LLC
70:03:7E,Vantiva USA LLC
44:1C:12,Vantiva USA LLC
5C:76:95,Vantiva USA LLC
AC:4C:A5,Vantiva USA LLC
00:CB:7A,Vantiva USA LLC
F8:D2:AC,Vantiva USA LLC
CC:F3:C8,Vantiva USA LLC
40:F3:B0,Texas Instruments
14:9C:EF,Texas Instruments
80:C4:1B,Texas Instruments
34:68:B5,Texas Instruments
58:AD:12,"Apple, Inc."
60:FD:A6,"Apple, Inc."
80:A9:97,"Apple, Inc."
34:8C:5E,"Apple, Inc."
D0:B2:C4,Vantiva USA LLC
80:C6:AB,Vantiva USA LLC
38:3F:B3,Vantiva USA LLC
64:12:36,Vantiva USA LLC
0C:75:D2,"Hangzhou Hikvision Digital Technology Co.,Ltd."
D8:77:66,"Nurivoice Co., Ltd"
B8:A7:5E,"Wuxi Xinjie Electric Co.,Ltd"
70:81:85,"New H3C Technologies Co., Ltd"
50:D3:3B,cloudnineinfo
84:C8:A0,"Hui Zhou Gaoshengda Technology Co.,LTD"
A8:8B:28,"Shenzhen Diyang Smart Technology Co.,Ltd."
08:F0:1E,eero inc.
18:A5:FF,Arcadyan Corporation
8C:1A:F3,"Shenzhen Gooxi Information Security CO.,Ltd."
F4:B6:C6,Indra Heera Technology LLP
6C:03:B5,"Cisco Systems, Inc"
58:C4:1E,IEEE Registration Authority
A8:91:62,Sophos Ltd
70:98:83,"Shenzhen Kayan Electronics., Ltd."
F4:3A:7B,zte corporation
68:9E:29,zte corporation
E4:40:97,"Guangdong Oppo Mobile Telecommunications Corp.,Ltd"
DC:B4:CA,"Guangdong Oppo Mobile Telecommunications Corp.,Ltd"
8C:D5:4A,"Taiyo Yuden Co.,Ltd"
A0:02:A5,Intel Corporate
AC:C0:48,"OnePlus Technology (Shenzhen) Co., Ltd"
40:84:32,Microchip Technology Inc.
44:D5:C1,EM Microelectronic
94:3B:B1,"Kaon Group Co., Ltd."
44:F0:34,"Kaon Group Co., Ltd."
88:8F:10,"Shenzhen Max Infinite Technology Co.,Ltd."
C4:79:9F,"Haiguang Smart Device Co.,Ltd."
84:28:59,Amazon Technologies Inc.
50:16:F4,"Motorola Mobility LLC, a Lenovo Company"
3C:08:CD,Juniper Networks
68:50:5D,Halo Technologies
7C:6A:8A,"SINOBONDER Technology Co., Ltd."
90:EC:E3,Nokia
88:7B:2C,zte corporation
60:DB:EF,Unify Software and Solutions GmbH & Co. KG
00:16:F6,Nevion
40:B7:FC,Phyplus Microelectronics Limited
68:2C:4F,leerang corporation
68:DD:B7,"Tp-Link Technologies Co.,Ltd."
14:D8:64,"Tp-Link Technologies Co.,Ltd."
B8:51:A9,Nokia
D0:77:CE,Edgecore Networks Corporation
EC:AF:F9,Hailo Technologies Ltd.
FC:59:C0,Arista Networks
64:1B:2F,"Samsung Electronics Co.,Ltd"
9C:73:B1,"Samsung Electronics Co.,Ltd"
38:8A:06,"Samsung Electronics Co.,Ltd"
B0:D8:88,"Panasonic Automotive Systems Co.,Ltd"
40:D4:F6,"Honor Device Co., Ltd."
7C:31:80,SMK corporation
90:56:07,"Sichuan AI-Link Technology Co., Ltd."
